event,model,week_index,final_sentiment,n,week_n,pct
latest_version,copilot,0,NEGATIVO,15,73,20.54794520547945
latest_version,copilot,0,NEUTRO,41,73,56.16438356164384
latest_version,copilot,0,POSITIVO,17,73,23.28767123287671
latest_version,copilot,1,NEGATIVO,11,105,10.476190476190476
latest_version,copilot,1,NEUTRO,72,105,68.57142857142857
latest_version,copilot,1,POSITIVO,22,105,20.952380952380953
latest_version,copilot,2,NEGATIVO,19,146,13.013698630136986
latest_version,copilot,2,NEUTRO,100,146,68.4931506849315
latest_version,copilot,2,POSITIVO,27,146,18.493150684931507
latest_version,copilot,3,NEGATIVO,13,97,13.402061855670103
latest_version,copilot,3,NEUTRO,61,97,62.88659793814433
latest_version,copilot,3,POSITIVO,23,97,23.711340206185564
latest_version,copilot,4,NEGATIVO,19,92,20.652173913043477
latest_version,copilot,4,NEUTRO,55,92,59.78260869565217
latest_version,copilot,4,POSITIVO,18,92,19.565217391304348
latest_version,copilot,5,NEGATIVO,12,96,12.5
latest_version,copilot,5,NEUTRO,54,96,56.25
latest_version,copilot,5,POSITIVO,30,96,31.25
latest_version,copilot,6,NEGATIVO,9,69,13.043478260869565
latest_version,copilot,6,NEUTRO,43,69,62.31884057971014
latest_version,copilot,6,POSITIVO,17,69,24.637681159420293
latest_version,copilot,7,NEGATIVO,11,81,13.580246913580247
latest_version,copilot,7,NEUTRO,48,81,59.25925925925925
latest_version,copilot,7,POSITIVO,22,81,27.160493827160494
latest_version,copilot,8,NEGATIVO,11,125,8.799999999999999
latest_version,copilot,8,NEUTRO,84,125,67.2
latest_version,copilot,8,POSITIVO,30,125,24.0
latest_version,copilot,9,NEGATIVO,19,128,14.84375
latest_version,copilot,9,NEUTRO,84,128,65.625
latest_version,copilot,9,POSITIVO,25,128,19.53125
latest_version,copilot,10,NEGATIVO,11,110,10.0
latest_version,copilot,10,NEUTRO,70,110,63.63636363636363
latest_version,copilot,10,POSITIVO,29,110,26.36363636363636
latest_version,copilot,11,NEGATIVO,23,143,16.083916083916083
latest_version,copilot,11,NEUTRO,91,143,63.63636363636363
latest_version,copilot,11,POSITIVO,29,143,20.27972027972028
latest_version,copilot,12,NEGATIVO,22,93,23.655913978494624
latest_version,copilot,12,NEUTRO,50,93,53.76344086021505
latest_version,copilot,12,POSITIVO,21,93,22.58064516129032
latest_version,gemini,0,NEGATIVO,23,167,13.77245508982036
latest_version,gemini,0,NEUTRO,114,167,68.26347305389223
latest_version,gemini,0,POSITIVO,30,167,17.964071856287426
latest_version,gemini,1,NEGATIVO,24,150,16.0
latest_version,gemini,1,NEUTRO,100,150,66.66666666666666
latest_version,gemini,1,POSITIVO,26,150,17.333333333333336
latest_version,gemini,2,NEGATIVO,60,174,34.48275862068966
latest_version,gemini,2,NEUTRO,94,174,54.02298850574713
latest_version,gemini,2,POSITIVO,20,174,11.494252873563218
latest_version,gemini,3,NEGATIVO,27,120,22.5
latest_version,gemini,3,NEUTRO,62,120,51.66666666666667
latest_version,gemini,3,POSITIVO,31,120,25.833333333333336
latest_version,gemini,4,NEGATIVO,28,130,21.53846153846154
latest_version,gemini,4,NEUTRO,84,130,64.61538461538461
latest_version,gemini,4,POSITIVO,18,130,13.846153846153847
